                                     chan  17July  19July  21July  23July     mean    min     max  100*diff/mean
281               PDU_5V/OTM_0_B_I/warnHi     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
282               PDU_5V/OTM_0_B_I/warnLo     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
283              PDU_5V/OTM_0_B_I/limitLo     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
290              PDU_5V/OTM_1_A_I/limitHi   511.0   512.0   512.0   512.0  511.750  511.0   512.0           0.20
291               PDU_5V/OTM_1_A_I/warnHi   506.0   507.0   507.0   507.0  506.750  506.0   507.0           0.20
292               PDU_5V/OTM_1_A_I/warnLo   455.0   455.0   456.0   456.0  455.500  455.0   456.0           0.22
293              PDU_5V/OTM_1_A_I/limitLo   450.0   450.0   451.0   451.0  450.500  450.0   451.0           0.22
310              PDU_5V/OTM_2_A_I/limitHi   523.0   523.0   523.0   523.0  523.000  523.0   523.0           0.00
311               PDU_5V/OTM_2_A_I/warnHi   518.0   518.0   518.0   518.0  518.000  518.0   518.0           0.00
312               PDU_5V/OTM_2_A_I/warnLo   468.0   468.0   468.0   468.0  468.000  468.0   468.0           0.00
313              PDU_5V/OTM_2_A_I/limitLo   464.0   464.0   464.0   463.0  463.750  463.0   464.0           0.22
330              PDU_5V/OTM_3_A_I/limitHi   547.0   547.0   547.0   547.0  547.000  547.0   547.0           0.00
331               PDU_5V/OTM_3_A_I/warnHi   542.0   542.0   542.0   542.0  542.000  542.0   542.0           0.00
332               PDU_5V/OTM_3_A_I/warnLo   488.0   488.0   488.0   488.0  488.000  488.0   488.0           0.00
333              PDU_5V/OTM_3_A_I/limitLo   483.0   483.0   483.0   482.0  482.750  482.0   483.0           0.21
350              PDU_5V/OTM_4_A_I/limitHi   523.0   524.0   524.0   524.0  523.750  523.0   524.0           0.19
351               PDU_5V/OTM_4_A_I/warnHi   518.0   520.0   520.0   520.0  519.500  518.0   520.0           0.38
352               PDU_5V/OTM_4_A_I/warnLo   468.0   468.0   468.0   468.0  468.000  468.0   468.0           0.00
353              PDU_5V/OTM_4_A_I/limitLo   464.0   464.0   464.0   464.0  464.000  464.0   464.0           0.00
370              PDU_5V/OTM_5_A_I/limitHi   495.0   495.0   495.0   495.0  495.000  495.0   495.0           0.00
371               PDU_5V/OTM_5_A_I/warnHi   490.0   490.0   490.0   490.0  490.000  490.0   490.0           0.00
372               PDU_5V/OTM_5_A_I/warnLo   442.0   442.0   442.0   442.0  442.000  442.0   442.0           0.00
373              PDU_5V/OTM_5_A_I/limitLo   437.0   438.0   438.0   437.0  437.500  437.0   438.0           0.23
380              PDU_5V/OTM_5_B_I/limitHi     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
381               PDU_5V/OTM_5_B_I/warnHi     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
382               PDU_5V/OTM_5_B_I/warnLo     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
383              PDU_5V/OTM_5_B_I/limitLo     0.0     0.0     0.0     0.0    0.000    0.0     0.0            NaN
392               BFR/Protection_I/warnLo   768.0   882.0   882.0   744.0  819.000  744.0   882.0          16.85
393              BFR/Protection_I/limitLo   750.0   872.0   872.0   721.0  803.750  721.0   872.0          18.79
395           PDU_48V/Purge_Fan_I/limitHi   964.0  1010.0   994.0   985.0  988.250  964.0  1010.0           4.65
396            PDU_48V/Purge_Fan_I/warnHi   949.0   985.0   974.0   966.0  968.500  949.0   985.0           3.72
397            PDU_48V/Purge_Fan_I/warnLo   514.0   496.0   501.0   502.0  503.250  496.0   514.0           3.58
398           PDU_48V/Purge_Fan_I/limitLo   499.0   475.0   481.0   484.0  484.750  475.0   499.0           4.95
401            PDU_48V/Purge_Fan_V/warnHi    50.0    49.9    49.9    49.9   49.925   49.9    50.0           0.20
411        PDU_48V/FES_CarouselD_V/warnHi    50.0    49.9    50.0    50.0   49.975   49.9    50.0           0.20
443         PDU_48V/Shtr_Motor2_V/limitLo    43.0    35.4    44.8    34.6   39.450   34.6    44.8          25.86
473   REB_Bulk_PS/RebBulkPs_3_5_V/limitLo    45.0    45.0    45.0    45.0   45.000   45.0    45.0           0.00
488   REB_Bulk_PS/RebBulkPs_6_8_V/limitLo    45.0    44.9    45.0    45.0   44.975   44.9    45.0           0.22
503  REB_Bulk_PS/RebBulkPs_9_12_V/limitLo    45.0    45.0    45.0    45.0   45.000   45.0    45.0           0.00
506    REB_Bulk_PS/RebBulkPs_Brd_T/warnHi    19.0    19.0    19.3    22.8   20.025   19.0    22.8          18.98
530               BFR/RebPs_Spr_I/limitHi    20.0    17.5    33.0    28.2   24.675   17.5    33.0          62.82
